Age        Renland    Renland
(yrs         depth       d18O
b2k)           (m)        (‰)
23490      310.000     -31.68
23640      310.025     -32.46
23790      310.050     -32.33
23940      310.075     -32.00
24090      310.100     -31.62
24240      310.125     -31.71
24390      310.150     -31.83
24540      310.175     -31.94
24690      310.200     -32.00
24840      310.225     -31.92
24990      310.250     -31.72
25140      310.275     -31.77
25290      310.300     -32.21
25440      310.325     -32.37
25590      310.350     -32.50
25740      310.375     -32.40
25890      310.400     -32.02
26040      310.425     -32.13
26190      310.450     -32.05
26340      310.475     -31.93
26490      310.500     -32.25
26640      310.525     -32.10
26790      310.550     -32.02
26940      310.575     -31.92
27090      310.600     -31.99
27240      310.625     -32.00
27390      310.650     -32.09
27540      310.675     -31.63
27620      310.700     -30.82
27700      310.725     -30.25
27780      310.750     -30.72
27985      310.775     -31.74
28190      310.800     -32.25
28395      310.825     -32.28
28600      310.850     -31.78
28700      310.875     -30.65
28800      310.900     -31.18
28900      310.925     -31.18
29216      310.950     -31.98
29532      310.975     -32.25
29848      311.000     -32.40
30164      311.025     -32.30
30480      311.050     -32.33
30796      311.075     -32.03
31112      311.100     -31.67
31428      311.125     -31.93
31744      311.150     -31.76
32060      311.175     -31.67
32170      311.200     -31.08
32280      311.225     -30.37
32390      311.250     -30.04
32500      311.275     -30.50
32793      311.300     -31.47
33087      311.325     -31.84
33380      311.350     -31.65
33470      311.375     -30.93
33560      311.400     -30.20
33650      311.425     -29.99
33740      311.450     -30.66
34080      311.475     -31.31
34420      311.500     -31.44
34760      311.525     -30.99
34940      311.550     -30.18
35120      311.575     -29.83
35300      311.600     -29.64
35480      311.625     -30.26
35770      311.650     -31.31
36060      311.675     -31.39
36350      311.700     -31.39
36640      311.725     -30.97
36798      311.750     -30.54
36956      311.775     -30.15
37114      311.800     -29.68
37272      311.825     -29.43
37430      311.850     -29.25
37588      311.875     -29.31
37746      311.900     -29.32
37904      311.925     -29.33
38062      311.950     -29.26
38220      311.975     -30.19
38416      312.000     -31.19
38611      312.025     -31.38
38807      312.050     -31.48
39002      312.075     -31.60
39198      312.100     -31.80
39393      312.125     -31.73
39589      312.150     -31.61
39784      312.175     -31.52
39980      312.200     -31.40
40070      312.225     -30.66
40160      312.250     -30.36
40277      312.275     -30.80
40394      312.300     -31.07
40511      312.325     -31.16
40629      312.350     -31.04
40746      312.375     -31.05
40863      312.400     -31.20
40980      312.425     -30.90
41060      312.450     -30.30
41140      312.475     -29.82
41220      312.500     -29.78
41300      312.525     -29.45
41380      312.550     -29.19
41460      312.575     -29.66
41597      312.600     -30.84
41733      312.625     -31.35
41870      312.650     -31.57
42007      312.675     -31.63
42143      312.700     -31.62
42280      312.725     -31.40
42376      312.750     -30.79
42473      312.775     -30.62
42569      312.800     -30.65
42665      312.825     -30.28
42762      312.850     -29.70
42858      312.875     -29.48
42955      312.900     -29.31
43051      312.925     -29.30
43147      312.950     -29.48
43244      312.975     -29.81
43340      313.000     -30.57
43600      313.025     -31.55
43860      313.050     -31.44
44120      313.075     -31.56
44380      313.100     -31.31
44526      313.125     -30.44
44672      313.150     -29.86
44818      313.175     -29.99
44964      313.200     -30.30
45109      313.225     -30.33
45255      313.250     -30.46
45401      313.275     -30.06
45547      313.300     -29.84
45693      313.325     -29.54
45839      313.350     -29.27
45985      313.375     -29.19
46131      313.400     -29.03
46276      313.425     -28.88
46422      313.450     -28.85
46568      313.475     -28.80
46714      313.500     -29.60
46860      313.525     -30.41
47156      313.550     -31.29
47452      313.575     -31.40
47748      313.600     -31.25
48044      313.625     -31.40
48340      313.650     -31.14
48458      313.675     -30.66
48575      313.700     -30.40
48693      313.725     -30.09
48810      313.750     -29.80
48928      313.775     -29.63
49045      313.800     -29.55
49163      313.825     -29.25
49280      313.850     -29.32
49450      313.875     -30.05
49620      313.900     -30.46
49759      313.925     -30.11
49899      313.950     -30.09
50038      313.975     -29.92
50178      314.000     -29.86
50317      314.025     -30.08
50456      314.050     -30.06
50596      314.075     -29.91
50735      314.100     -30.00
50875      314.125     -30.09
51014      314.150     -29.99
51153      314.175     -29.97
51293      314.200     -30.14
51432      314.225     -30.19
51572      314.250     -30.00
51711      314.275     -30.01
51850      314.300     -30.10
51990      314.325     -30.01
52129      314.350     -29.92
52268      314.375     -29.86
52408      314.400     -29.83
52547      314.425     -29.78
52687      314.450     -29.61
52826      314.475     -29.37
52965      314.500     -28.98
53105      314.525     -28.83
53244      314.550     -28.99
53384      314.575     -29.14
53523      314.600     -28.95
53662      314.625     -28.87
53802      314.650     -28.84
53941      314.675     -28.86
54081      314.700     -28.98
54220      314.725     -29.73
54830      314.750     -30.50
55440      314.775     -30.59
55560      314.800     -29.88
55680      314.825     -29.42
55800      314.850     -30.09
56140      314.875     -31.05
56480      314.900     -31.04
56644      314.925     -30.56
56807      314.950     -30.11
56971      314.975     -30.06
57135      315.000     -30.02
57298      315.025     -29.90
57462      315.050     -29.86
57625      315.075     -29.94
57789      315.100     -29.82
57953      315.125     -29.81
58116      315.150     -30.18
58280      315.175     -30.52
58365      315.200     -31.34
58450      315.225     -31.79
58535      315.250     -31.63
58620      315.275     -31.13
58697      315.300     -30.43
58773      315.325     -29.78
58850      315.350     -29.49
58927      315.375     -29.02
59003      315.400     -28.92
59080      315.425     -29.77
59140      315.450     -30.99
59200      315.475     -31.65
59260      315.500     -31.80
59320      315.525     -30.74
59360      315.550     -29.34
59400      315.575     -29.00
59440      315.600     -29.97
